,Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Conference,year
6,,22,60,0.268,33.0,93.9,99.5,-5.1,Vancouver Grizzlies,Vancouver Grizzlies,2000
7,,67,15,0.817,—,100.8,92.3,8.41,Los Angeles Lakers*,Los Angeles Lakers*,2000
8,,59,23,0.72,8.0,97.5,91.0,6.36,Portland Trail Blazers*,Portland Trail Blazers*,2000
9,,53,29,0.646,14.0,98.9,93.7,5.24,Phoenix Suns*,Phoenix Suns*,2000
10,,45,37,0.549,22.0,99.1,98.1,1.17,Seattle SuperSonics*,Seattle SuperSonics*,2000
11,,44,38,0.537,23.0,105.0,102.0,3.04,Sacramento Kings*,Sacramento Kings*,2000
12,,19,63,0.232,48.0,95.5,103.8,-7.63,Golden State Warriors,Golden State Warriors,2000
13,,15,67,0.183,52.0,92.0,103.5,-10.73,Los Angeles Clippers,Los Angeles Clippers,2000
0,Philadelphia 76ers*,56,26,0.683,—,94.7,90.4,3.64,,Philadelphia 76ers*,2001
1,Miami Heat*,50,32,0.61,6.0,88.9,86.6,1.73,,Miami Heat*,2001
2,New York Knicks*,48,34,0.585,8.0,88.7,86.1,1.98,,New York Knicks*,2001
3,Orlando Magic*,43,39,0.524,13.0,97.5,96.5,0.39,,Orlando Magic*,2001
4,Boston Celtics,36,46,0.439,20.0,94.6,96.8,-2.4,,Boston Celtics,2001
5,New Jersey Nets,26,56,0.317,30.0,92.1,97.1,-5.3,,New Jersey Nets,2001
6,Washington Wizards,19,63,0.232,37.0,93.2,99.9,-6.75,,Washington Wizards,2001
7,Milwaukee Bucks*,52,30,0.634,—,100.7,96.9,3.14,,Milwaukee Bucks*,2001
8,Toronto Raptors*,47,35,0.573,5.0,97.6,95.4,1.69,,Toronto Raptors*,2001
9,Charlotte Hornets*,46,36,0.561,6.0,91.9,89.8,1.45,,Charlotte Hornets*,2001
10,Indiana Pacers*,41,41,0.5,11.0,92.6,92.8,-0.77,,Indiana Pacers*,2001
11,Detroit Pistons,32,50,0.39,20.0,95.6,97.3,-2.08,,Detroit Pistons,2001
12,Cleveland Cavaliers,30,52,0.366,22.0,92.2,96.5,-4.48,,Cleveland Cavaliers,2001
13,Atlanta Hawks,25,57,0.305,27.0,91.0,96.2,-5.55,,Atlanta Hawks,2001
14,Chicago Bulls,15,67,0.183,37.0,87.6,96.7,-9.09,,Chicago Bulls,2001
0,,58,24,0.707,—,96.2,88.4,7.92,San Antonio Spurs*,San Antonio Spurs*,2001
1,,53,29,0.646,5.0,97.1,92.4,5.0,Utah Jazz*,Utah Jazz*,2001
2,,53,29,0.646,5.0,100.5,96.2,4.61,Dallas Mavericks*,Dallas Mavericks*,2001
3,,47,35,0.573,11.0,97.3,96.0,1.81,Minnesota Timberwolves*,Minnesota Timberwolves*,2001
4,,45,37,0.549,13.0,97.2,94.9,2.71,Houston Rockets,Houston Rockets,2001
5,,40,42,0.488,18.0,96.6,99.0,-1.83,Denver Nuggets,Denver Nuggets,2001
6,,23,59,0.28,35.0,91.7,97.5,-4.94,Vancouver Grizzlies,Vancouver Grizzlies,2001
7,,56,26,0.683,—,100.6,97.2,3.74,Los Angeles Lakers*,Los Angeles Lakers*,2001
8,,55,27,0.671,1.0,101.7,95.9,6.07,Sacramento Kings*,Sacramento Kings*,2001
9,,51,31,0.622,5.0,94.0,91.8,2.63,Phoenix Suns*,Phoenix Suns*,2001
10,,50,32,0.61,6.0,95.4,91.2,4.52,Portland Trail Blazers*,Portland Trail Blazers*,2001
11,,44,38,0.537,12.0,97.3,97.3,0.55,Seattle SuperSonics,Seattle SuperSonics,2001
12,,31,51,0.378,25.0,92.5,95.3,-2.23,Los Angeles Clippers,Los Angeles Clippers,2001
13,,17,65,0.207,39.0,92.5,101.5,-8.11,Golden State Warriors,Golden State Warriors,2001
0,New Jersey Nets*,52,30,0.634,—,96.2,92.0,3.67,,New Jersey Nets*,2002
1,Boston Celtics*,49,33,0.598,3.0,96.4,94.1,1.75,,Boston Celtics*,2002
2,Orlando Magic*,44,38,0.537,8.0,100.5,98.9,1.25,,Orlando Magic*,2002
3,Philadelphia 76ers*,43,39,0.524,9.0,91.0,89.4,1.27,,Philadelphia 76ers*,2002
4,Washington Wizards,37,45,0.451,15.0,92.8,94.2,-1.58,,Washington Wizards,2002
5,Miami Heat,36,46,0.439,16.0,87.2,88.7,-1.84,,Miami Heat,2002
6,New York Knicks,30,52,0.366,22.0,91.6,95.6,-4.15,,New York Knicks,2002
7,Detroit Pistons*,50,32,0.61,—,94.3,92.2,1.69,,Detroit Pistons*,2002
8,Charlotte Hornets*,44,38,0.537,6.0,93.9,92.9,0.57,,Charlotte Hornets*,2002
9,Toronto Raptors*,42,40,0.512,8.0,91.4,91.8,-0.71,,Toronto Raptors*,2002
10,Indiana Pacers*,42,40,0.512,8.0,96.8,96.5,-0.07,,Indiana Pacers*,2002
11,Milwaukee Bucks,41,41,0.5,9.0,97.5,97.7,-0.62,,Milwaukee Bucks,2002
12,Atlanta Hawks,33,49,0.402,17.0,94.0,98.3,-4.41,,Atlanta Hawks,2002
13,Cleveland Cavaliers,29,53,0.354,21.0,95.3,98.6,-3.52,,Cleveland Cavaliers,2002
14,Chicago Bulls,21,61,0.256,29.0,89.5,98.0,-8.52,,Chicago Bulls,2002
0,,58,24,0.707,—,96.7,90.5,6.28,San Antonio Spurs*,San Antonio Spurs*,2002
1,,57,25,0.695,1.0,105.2,101.0,4.41,Dallas Mavericks*,Dallas Mavericks*,2002
2,,50,32,0.61,8.0,99.3,96.0,3.58,Minnesota Timberwolves*,Minnesota Timberwolves*,2002
3,,44,38,0.537,14.0,96.0,95.1,1.21,Utah Jazz*,Utah Jazz*,2002
4,,28,54,0.341,30.0,92.3,97.2,-4.31,Houston Rockets,Houston Rockets,2002
5,,27,55,0.329,31.0,92.2,98.0,-5.19,Denver Nuggets,Denver Nuggets,2002
6,,23,59,0.28,35.0,89.9,97.3,-6.74,Memphis Grizzlies,Memphis Grizzlies,2002
7,,61,21,0.744,—,104.6,97.0,7.61,Sacramento Kings*,Sacramento Kings*,2002
8,,58,24,0.707,3.0,101.3,94.1,7.15,Los Angeles Lakers*,Los Angeles Lakers*,2002
9,,49,33,0.598,12.0,96.6,93.7,3.21,Portland Trail Blazers*,Portland Trail Blazers*,2002
10,,45,37,0.549,16.0,97.7,94.7,3.24,Seattle SuperSonics*,Seattle SuperSonics*,2002
11,,39,43,0.476,22.0,95.7,96.1,-0.09,Los Angeles Clippers,Los Angeles Clippers,2002
12,,36,46,0.439,25.0,95.1,95.8,-0.3,Phoenix Suns,Phoenix Suns,2002
13,,21,61,0.256,40.0,97.7,103.1,-4.8,Golden State Warriors,Golden State Warriors,2002
0,New Jersey Nets*,49,33,0.598,—,95.4,90.1,4.42,,New Jersey Nets*,2003
1,Philadelphia 76ers*,48,34,0.585,1.0,96.8,94.5,1.76,,Philadelphia 76ers*,2003
2,Boston Celtics*,44,38,0.537,5.0,92.7,93.1,-0.75,,Boston Celtics*,2003
3,Orlando Magic*,42,40,0.512,7.0,98.5,98.4,-0.39,,Orlando Magic*,2003
4,Washington Wizards,37,45,0.451,12.0,91.5,92.5,-1.47,,Washington Wizards,2003
5,New York Knicks,37,45,0.451,12.0,95.9,97.2,-1.61,,New York Knicks,2003
6,Miami Heat,25,57,0.305,24.0,85.6,90.6,-5.13,,Miami Heat,2003
7,Detroit Pistons*,50,32,0.61,—,91.4,87.7,2.97,,Detroit Pistons*,2003
8,Indiana Pacers*,48,34,0.585,2.0,96.8,93.3,2.79,,Indiana Pacers*,2003
9,New Orleans Hornets*,47,35,0.573,3.0,93.9,91.8,1.52,,New Orleans Hornets*,2003
10,Milwaukee Bucks*,42,40,0.512,8.0,99.5,99.3,-0.24,,Milwaukee Bucks*,2003
11,Atlanta Hawks,35,47,0.427,15.0,94.1,97.6,-3.87,,Atlanta Hawks,2003
12,Chicago Bulls,30,52,0.366,20.0,95.0,100.1,-5.31,,Chicago Bulls,2003
13,Toronto Raptors,24,58,0.293,26.0,90.9,96.8,-6.1,,Toronto Raptors,2003
14,Cleveland Cavaliers,17,65,0.207,33.0,91.4,101.0,-9.59,,Cleveland Cavaliers,2003
0,,60,22,0.732,—,95.8,90.4,5.65,San Antonio Spurs*,San Antonio Spurs*,2003
1,,60,22,0.732,—,103.0,95.2,7.9,Dallas Mavericks*,Dallas Mavericks*,2003
2,,51,31,0.622,9.0,98.1,96.0,2.46,Minnesota Timberwolves*,Minnesota Timberwolves*,2003
3,,47,35,0.573,13.0,94.7,92.3,2.76,Utah Jazz*,Utah Jazz*,2003
4,,43,39,0.524,17.0,93.8,92.3,1.89,Houston Rockets,Houston Rockets,2003
5,,28,54,0.341,32.0,97.5,100.7,-2.6,Memphis Grizzlies,Memphis Grizzlies,2003
6,,17,65,0.207,43.0,84.2,92.4,-7.41,Denver Nuggets,Denver Nuggets,2003
7,,59,23,0.72,—,101.7,95.2,6.68,Sacramento Kings*,Sacramento Kings*,2003
8,,50,32,0.61,9.0,100.4,98.0,2.71,Los Angeles Lakers*,Los Angeles Lakers*,2003
9,,50,32,0.61,9.0,95.2,92.5,2.97,Portland Trail Blazers*,Portland Trail Blazers*,2003
10,,44,38,0.537,15.0,95.5,94.4,1.57,Phoenix Suns*,Phoenix Suns*,2003
11,,40,42,0.488,19.0,92.1,92.3,0.37,Seattle SuperSonics,Seattle SuperSonics,2003
12,,38,44,0.463,21.0,102.4,103.6,-0.6,Golden State Warriors,Golden State Warriors,2003
13,,27,55,0.329,32.0,93.8,97.9,-3.45,Los Angeles Clippers,Los Angeles Clippers,2003
0,New Jersey Nets*,47,35,0.573,—,90.3,87.8,1.88,,New Jersey Nets*,2004
1,Miami Heat*,42,40,0.512,5.0,90.3,89.7,-0.13,,Miami Heat*,2004
2,New York Knicks*,39,43,0.476,8.0,92.0,93.5,-1.97,,New York Knicks*,2004
3,Boston Celtics*,36,46,0.439,11.0,95.3,96.7,-1.99,,Boston Celtics*,2004
4,Philadelphia 76ers,33,49,0.402,14.0,88.0,90.5,-2.95,,Philadelphia 76ers,2004
5,Washington Wizards,25,57,0.305,22.0,91.8,97.4,-6.12,,Washington Wizards,2004
6,Orlando Magic,21,61,0.256,26.0,94.0,101.1,-7.25,,Orlando Magic,2004
7,Indiana Pacers*,61,21,0.744,—,91.4,85.6,4.93,,Indiana Pacers*,2004
8,Detroit Pistons*,54,28,0.659,7.0,90.1,84.3,5.04,,Detroit Pistons*,2004
9,New Orleans Hornets*,41,41,0.5,20.0,91.8,91.9,-0.72,,New Orleans Hornets*,2004
10,Milwaukee Bucks*,41,41,0.5,20.0,98.0,97.0,0.42,,Milwaukee Bucks*,2004
11,Cleveland Cavaliers,35,47,0.427,26.0,92.9,95.5,-3.07,,Cleveland Cavaliers,2004
12,Toronto Raptors,33,49,0.402,28.0,85.4,88.5,-3.42,,Toronto Raptors,2004
13,Atlanta Hawks,28,54,0.341,33.0,92.8,97.5,-5.0,,Atlanta Hawks,2004
14,Chicago Bulls,23,59,0.28,38.0,89.7,96.0,-6.69,,Chicago Bulls,2004
0,,58,24,0.707,—,94.5,89.1,5.86,Minnesota Timberwolves*,Minnesota Timberwolves*,2004
1,,57,25,0.695,1.0,91.5,84.3,7.51,San Antonio Spurs*,San Antonio Spurs*,2004
2,,52,30,0.634,6.0,105.2,100.8,4.86,Dallas Mavericks*,Dallas Mavericks*,2004
3,,50,32,0.61,8.0,96.7,94.3,2.95,Memphis Grizzlies*,Memphis Grizzlies*,2004
4,,45,37,0.549,13.0,89.8,88.0,2.28,Houston Rockets*,Houston Rockets*,2004
5,,43,39,0.524,15.0,97.2,96.1,1.65,Denver Nuggets*,Denver Nuggets*,2004
6,,42,40,0.512,16.0,88.7,89.9,-0.53,Utah Jazz,Utah Jazz,2004
7,,56,26,0.683,—,98.2,94.3,4.35,Los Angeles Lakers*,Los Angeles Lakers*,2004
8,,55,27,0.671,1.0,102.8,97.8,5.41,Sacramento Kings*,Sacramento Kings*,2004
9,,41,41,0.5,15.0,90.7,92.0,-0.58,Portland Trail Blazers,Portland Trail Blazers,2004
10,,37,45,0.451,19.0,93.3,94.0,-0.07,Golden State Warriors,Golden State Warriors,2004
11,,37,45,0.451,19.0,97.1,97.8,0.02,Seattle SuperSonics,Seattle SuperSonics,2004
12,,29,53,0.354,27.0,94.2,97.9,-2.94,Phoenix Suns,Phoenix Suns,2004
13,,28,54,0.341,28.0,94.8,99.4,-3.74,Los Angeles Clippers,Los Angeles Clippers,2004
0,Boston Celtics*,45,37,0.549,—,101.3,100.4,0.35,,Boston Celtics*,2005
1,Philadelphia 76ers*,43,39,0.524,2.0,99.1,99.9,-1.07,,Philadelphia 76ers*,2005
2,New Jersey Nets*,42,40,0.512,3.0,91.4,92.9,-1.82,,New Jersey Nets*,2005
3,Toronto Raptors,33,49,0.402,12.0,99.7,101.4,-1.81,,Toronto Raptors,2005
4,New York Knicks,33,49,0.402,12.0,97.3,99.7,-2.72,,New York Knicks,2005
5,Detroit Pistons*,54,28,0.659,—,93.3,89.5,3.31,,Detroit Pistons*,2005
6,Chicago Bulls*,47,35,0.573,7.0,94.5,93.4,0.65,,Chicago Bulls*,2005
7,Indiana Pacers*,44,38,0.537,10.0,93.0,92.2,0.49,,Indiana Pacers*,2005
8,Cleveland Cavaliers,42,40,0.512,12.0,96.5,95.7,0.27,,Cleveland Cavaliers,2005
9,Milwaukee Bucks,30,52,0.366,24.0,97.2,100.2,-3.09,,Milwaukee Bucks,2005
10,Miami Heat*,59,23,0.72,—,101.5,95.0,5.77,,Miami Heat*,2005
11,Washington Wizards*,45,37,0.549,14.0,100.5,100.8,-0.71,,Washington Wizards*,2005
12,Orlando Magic,36,46,0.439,23.0,99.5,101.8,-2.52,,Orlando Magic,2005
13,Charlotte Bobcats,18,64,0.22,41.0,94.3,100.2,-6.15,,Charlotte Bobcats,2005
14,Atlanta Hawks,13,69,0.159,46.0,92.7,102.5,-9.62,,Atlanta Hawks,2005
0,,52,30,0.634,—,98.9,96.6,2.59,Seattle SuperSonics*,Seattle SuperSonics*,2005
1,,49,33,0.598,3.0,99.5,97.5,2.23,Denver Nuggets*,Denver Nuggets*,2005
2,,44,38,0.537,8.0,96.8,95.3,1.73,Minnesota Timberwolves,Minnesota Timberwolves,2005
3,,27,55,0.329,25.0,92.9,96.9,-3.45,Portland Trail Blazers,Portland Trail Blazers,2005
4,,26,56,0.317,26.0,93.0,97.3,-3.74,Utah Jazz,Utah Jazz,2005
5,,62,20,0.756,—,110.4,103.3,7.08,Phoenix Suns*,Phoenix Suns*,2005
6,,50,32,0.61,12.0,103.7,101.6,2.56,Sacramento Kings*,Sacramento Kings*,2005
7,,37,45,0.451,25.0,95.7,96.5,-0.47,Los Angeles Clippers,Los Angeles Clippers,2005
8,,34,48,0.415,28.0,98.7,101.7,-2.32,Los Angeles Lakers,Los Angeles Lakers,2005
9,,34,48,0.415,28.0,98.7,100.9,-1.74,Golden State Warriors,Golden State Warriors,2005
10,,59,23,0.72,—,96.2,88.4,7.84,San Antonio Spurs*,San Antonio Spurs*,2005
11,,58,24,0.707,1.0,102.5,96.8,5.86,Dallas Mavericks*,Dallas Mavericks*,2005
12,,51,31,0.622,8.0,95.1,91.0,4.27,Houston Rockets*,Houston Rockets*,2005
13,,45,37,0.549,14.0,93.4,91.1,2.64,Memphis Grizzlies*,Memphis Grizzlies*,2005
14,,18,64,0.22,41.0,88.4,95.5,-6.3,New Orleans Hornets,New Orleans Hornets,2005
0,New Jersey Nets*,49,33,0.598,—,93.8,92.4,1.11,,New Jersey Nets*,2006
1,Philadelphia 76ers,38,44,0.463,11.0,99.4,101.3,-2.1,,Philadelphia 76ers,2006
2,Boston Celtics,33,49,0.402,16.0,98.0,99.5,-1.59,,Boston Celtics,2006
3,Toronto Raptors,27,55,0.329,22.0,101.1,104.0,-3.03,,Toronto Raptors,2006
4,New York Knicks,23,59,0.28,26.0,95.6,102.0,-6.3,,New York Knicks,2006
5,Detroit Pistons*,64,18,0.78,—,96.8,90.2,6.24,,Detroit Pistons*,2006
6,Cleveland Cavaliers*,50,32,0.61,14.0,97.6,95.4,2.17,,Cleveland Cavaliers*,2006
7,Indiana Pacers*,41,41,0.5,23.0,93.9,92.0,1.62,,Indiana Pacers*,2006
8,Chicago Bulls*,41,41,0.5,23.0,97.8,97.2,0.51,,Chicago Bulls*,2006
9,Milwaukee Bucks*,40,42,0.488,24.0,97.8,98.8,-1.07,,Milwaukee Bucks*,2006
10,Miami Heat*,52,30,0.634,—,99.9,96.0,3.59,,Miami Heat*,2006
11,Washington Wizards*,42,40,0.512,10.0,101.7,99.8,1.57,,Washington Wizards*,2006
12,Orlando Magic,36,46,0.439,16.0,94.9,96.0,-1.26,,Orlando Magic,2006
13,Charlotte Bobcats,26,56,0.317,26.0,96.9,100.9,-3.9,,Charlotte Bobcats,2006
14,Atlanta Hawks,26,56,0.317,26.0,97.2,102.0,-4.69,,Atlanta Hawks,2006
0,,44,38,0.537,—,100.3,100.1,0.36,Denver Nuggets*,Denver Nuggets*,2006
1,,41,41,0.5,3.0,92.4,95.0,-2.49,Utah Jazz,Utah Jazz,2006
2,,35,47,0.427,9.0,102.6,105.6,-2.88,Seattle SuperSonics,Seattle SuperSonics,2006
3,,33,49,0.402,11.0,91.7,93.6,-1.75,Minnesota Timberwolves,Minnesota Timberwolves,2006
4,,21,61,0.256,23.0,88.8,98.3,-8.91,Portland Trail Blazers,Portland Trail Blazers,2006
5,,54,28,0.659,—,108.4,102.8,5.48,Phoenix Suns*,Phoenix Suns*,2006
6,,47,35,0.573,7.0,97.2,95.6,1.75,Los Angeles Clippers*,Los Angeles Clippers*,2006
7,,45,37,0.549,9.0,99.4,96.9,2.53,Los Angeles Lakers*,Los Angeles Lakers*,2006
8,,44,38,0.537,10.0,98.9,97.3,1.61,Sacramento Kings*,Sacramento Kings*,2006
9,,34,48,0.415,20.0,98.5,99.8,-1.11,Golden State Warriors,Golden State Warriors,2006
10,,63,19,0.768,—,95.6,88.8,6.69,San Antonio Spurs*,San Antonio Spurs*,2006
11,,60,22,0.732,3.0,99.1,93.1,5.96,Dallas Mavericks*,Dallas Mavericks*,2006
12,,49,33,0.598,14.0,92.2,88.5,3.74,Memphis Grizzlies*,Memphis Grizzlies*,2006
13,,38,44,0.463,25.0,92.8,95.6,-2.51,New Orleans/Oklahoma City Hornets,New Orleans/Oklahoma City Hornets,2006
14,,34,48,0.415,29.0,90.1,91.7,-1.3,Houston Rockets,Houston Rockets,2006
0,Toronto Raptors*,47,35,0.573,—,99.5,98.5,0.61,,Toronto Raptors*,2007
1,New Jersey Nets*,41,41,0.5,6.0,97.6,98.3,-1.0,,New Jersey Nets*,2007
2,Philadelphia 76ers,35,47,0.427,12.0,94.9,98.0,-3.26,,Philadelphia 76ers,2007
3,New York Knicks,33,49,0.402,14.0,97.5,100.3,-3.06,,New York Knicks,2007
4,Boston Celtics,24,58,0.293,23.0,95.8,99.2,-3.7,,Boston Celtics,2007
5,Detroit Pistons*,53,29,0.646,—,96.0,91.8,3.69,,Detroit Pistons*,2007
6,Cleveland Cavaliers*,50,32,0.61,3.0,96.8,92.9,3.33,,Cleveland Cavaliers*,2007
7,Chicago Bulls*,49,33,0.598,4.0,98.8,93.8,4.52,,Chicago Bulls*,2007
8,Indiana Pacers,35,47,0.427,18.0,95.6,98.0,-2.62,,Indiana Pacers,2007
9,Milwaukee Bucks,28,54,0.341,25.0,99.7,104.0,-4.43,,Milwaukee Bucks,2007
10,Miami Heat*,44,38,0.537,—,94.6,95.5,-1.21,,Miami Heat*,2007
11,Washington Wizards*,41,41,0.5,3.0,104.3,104.9,-0.8,,Washington Wizards*,2007
12,Orlando Magic*,40,42,0.488,4.0,94.8,94.0,0.35,,Orlando Magic*,2007
13,Charlotte Bobcats,33,49,0.402,11.0,96.9,100.6,-3.97,,Charlotte Bobcats,2007
14,Atlanta Hawks,30,52,0.366,14.0,93.7,98.4,-4.86,,Atlanta Hawks,2007
0,,51,31,0.622,—,101.5,98.6,3.06,Utah Jazz*,Utah Jazz*,2007
1,,45,37,0.549,6.0,105.4,103.7,1.69,Denver Nuggets*,Denver Nuggets*,2007
2,,32,50,0.39,19.0,94.1,98.4,-3.78,Portland Trail Blazers,Portland Trail Blazers,2007
3,,32,50,0.39,19.0,96.1,99.7,-3.16,Minnesota Timberwolves,Minnesota Timberwolves,2007
4,,31,51,0.378,20.0,99.1,102.0,-2.45,Seattle SuperSonics,Seattle SuperSonics,2007
5,,61,21,0.744,—,110.2,102.9,7.28,Phoenix Suns*,Phoenix Suns*,2007
6,,42,40,0.512,19.0,103.3,103.4,0.24,Los Angeles Lakers*,Los Angeles Lakers*,2007
7,,42,40,0.512,19.0,106.5,106.9,0.0,Golden State Warriors*,Golden State Warriors*,2007
8,,40,42,0.488,21.0,95.6,96.1,-0.07,Los Angeles Clippers,Los Angeles Clippers,2007
9,,33,49,0.402,28.0,101.3,103.1,-1.35,Sacramento Kings,Sacramento Kings,2007
10,,67,15,0.817,—,100.0,92.8,7.28,Dallas Mavericks*,Dallas Mavericks*,2007
11,,58,24,0.707,9.0,98.5,90.1,8.35,San Antonio Spurs*,San Antonio Spurs*,2007
12,,52,30,0.634,15.0,97.0,92.1,5.04,Houston Rockets*,Houston Rockets*,2007
13,,39,43,0.476,28.0,95.5,97.1,-1.19,New Orleans/Oklahoma City Hornets,New Orleans/Oklahoma City Hornets,2007
14,,22,60,0.268,45.0,101.6,106.7,-4.44,Memphis Grizzlies,Memphis Grizzlies,2007
0,Boston Celtics*,66,16,0.805,—,100.5,90.3,9.3,,Boston Celtics*,2008
1,Toronto Raptors*,41,41,0.5,25.0,100.2,97.3,2.47,,Toronto Raptors*,2008
2,Philadelphia 76ers*,40,42,0.488,26.0,96.6,96.2,0.19,,Philadelphia 76ers*,2008
3,New Jersey Nets,34,48,0.415,32.0,95.8,100.9,-5.15,,New Jersey Nets,2008
4,New York Knicks,23,59,0.28,43.0,96.9,103.5,-6.55,,New York Knicks,2008
5,Detroit Pistons*,59,23,0.72,—,97.5,90.1,6.67,,Detroit Pistons*,2008
6,Cleveland Cavaliers*,45,37,0.549,14.0,96.4,96.7,-0.53,,Cleveland Cavaliers*,2008
7,Indiana Pacers,36,46,0.439,23.0,104.0,105.4,-1.87,,Indiana Pacers,2008
8,Chicago Bulls,33,49,0.402,26.0,97.3,100.4,-3.19,,Chicago Bulls,2008
9,Milwaukee Bucks,26,56,0.317,33.0,97.0,103.9,-6.92,,Milwaukee Bucks,2008
10,Orlando Magic*,52,30,0.634,—,104.5,99.0,4.79,,Orlando Magic*,2008
11,Washington Wizards*,43,39,0.524,9.0,98.8,99.2,-0.61,,Washington Wizards*,2008
12,Atlanta Hawks*,37,45,0.451,15.0,98.2,100.0,-2.23,,Atlanta Hawks*,2008
13,Charlotte Bobcats,32,50,0.39,20.0,97.1,101.4,-4.49,,Charlotte Bobcats,2008
14,Miami Heat,15,67,0.183,37.0,91.4,100.0,-8.53,,Miami Heat,2008
0,,54,28,0.659,—,106.2,99.3,6.86,Utah Jazz*,Utah Jazz*,2008
1,,50,32,0.61,4.0,110.7,107.0,3.74,Denver Nuggets*,Denver Nuggets*,2008
2,,41,41,0.5,13.0,95.4,96.3,-0.52,Portland Trail Blazers,Portland Trail Blazers,2008
3,,22,60,0.268,32.0,95.6,102.4,-6.26,Minnesota Timberwolves,Minnesota Timberwolves,2008
4,,20,62,0.244,34.0,97.5,106.3,-8.04,Seattle SuperSonics,Seattle SuperSonics,2008
5,,57,25,0.695,—,108.6,101.3,7.34,Los Angeles Lakers*,Los Angeles Lakers*,2008
6,,55,27,0.671,2.0,110.1,105.0,5.14,Phoenix Suns*,Phoenix Suns*,2008
7,,48,34,0.585,9.0,111.0,108.8,2.38,Golden State Warriors,Golden State Warriors,2008
8,,38,44,0.463,19.0,102.5,104.8,-1.86,Sacramento Kings,Sacramento Kings,2008
9,,23,59,0.28,34.0,93.8,101.1,-6.56,Los Angeles Clippers,Los Angeles Clippers,2008
10,,56,26,0.683,—,100.9,95.6,5.46,New Orleans Hornets*,New Orleans Hornets*,2008
11,,56,26,0.683,—,95.4,90.6,5.1,San Antonio Spurs*,San Antonio Spurs*,2008
12,,55,27,0.671,1.0,96.7,92.0,4.83,Houston Rockets*,Houston Rockets*,2008
13,,51,31,0.622,5.0,100.4,95.9,4.7,Dallas Mavericks*,Dallas Mavericks*,2008
14,,22,60,0.268,34.0,100.7,106.9,-5.76,Memphis Grizzlies,Memphis Grizzlies,2008
0,Boston Celtics*,62,20,0.756,—,100.9,93.4,7.44,,Boston Celtics*,2009
1,Philadelphia 76ers*,41,41,0.5,21.0,97.4,97.3,0.16,,Philadelphia 76ers*,2009
2,New Jersey Nets,34,48,0.415,28.0,98.1,100.5,-2.31,,New Jersey Nets,2009
3,Toronto Raptors,33,49,0.402,29.0,99.0,101.9,-2.54,,Toronto Raptors,2009
4,New York Knicks,32,50,0.39,30.0,105.2,107.8,-2.33,,New York Knicks,2009
5,Cleveland Cavaliers*,66,16,0.805,—,100.3,91.4,8.68,,Cleveland Cavaliers*,2009
6,Chicago Bulls*,41,41,0.5,25.0,102.2,102.5,-0.16,,Chicago Bulls*,2009
7,Detroit Pistons*,39,43,0.476,27.0,94.2,94.7,-0.36,,Detroit Pistons*,2009
8,Indiana Pacers,36,46,0.439,30.0,105.1,106.2,-0.76,,Indiana Pacers,2009
9,Milwaukee Bucks,34,48,0.415,32.0,99.3,100.4,-0.88,,Milwaukee Bucks,2009
10,Orlando Magic*,59,23,0.72,—,101.0,94.4,6.48,,Orlando Magic*,2009
11,Atlanta Hawks*,47,35,0.573,12.0,98.1,96.5,1.7,,Atlanta Hawks*,2009
12,Miami Heat*,43,39,0.524,16.0,98.3,98.0,0.49,,Miami Heat*,2009
13,Charlotte Bobcats,35,47,0.427,24.0,93.6,94.9,-1.2,,Charlotte Bobcats,2009
14,Washington Wizards,19,63,0.232,40.0,96.1,103.5,-6.98,,Washington Wizards,2009
0,,54,28,0.659,—,104.3,100.9,3.13,Denver Nuggets*,Denver Nuggets*,2009
1,,54,28,0.659,—,99.4,94.1,5.0,Portland Trail Blazers*,Portland Trail Blazers*,2009
2,,48,34,0.585,6.0,103.6,100.9,2.31,Utah Jazz*,Utah Jazz*,2009
3,,24,58,0.293,30.0,97.8,102.7,-4.74,Minnesota Timberwolves,Minnesota Timberwolves,2009
4,,23,59,0.28,31.0,97.0,103.1,-6.04,Oklahoma City Thunder,Oklahoma City Thunder,2009
5,,65,17,0.793,—,106.9,99.3,7.11,Los Angeles Lakers*,Los Angeles Lakers*,2009
6,,46,36,0.561,19.0,109.4,107.5,1.62,Phoenix Suns,Phoenix Suns,2009
7,,29,53,0.354,36.0,108.6,112.3,-3.8,Golden State Warriors,Golden State Warriors,2009
8,,19,63,0.232,46.0,95.1,103.9,-8.47,Los Angeles Clippers,Los Angeles Clippers,2009
9,,17,65,0.207,48.0,100.6,109.3,-8.6,Sacramento Kings,Sacramento Kings,2009
10,,54,28,0.659,—,97.0,93.3,3.36,San Antonio Spurs*,San Antonio Spurs*,2009
11,,53,29,0.646,1.0,98.4,94.4,3.73,Houston Rockets*,Houston Rockets*,2009
12,,50,32,0.61,4.0,101.7,99.8,1.68,Dallas Mavericks*,Dallas Mavericks*,2009
13,,49,33,0.598,5.0,95.8,94.3,1.41,New Orleans Hornets*,New Orleans Hornets*,2009
14,,24,58,0.293,30.0,93.9,99.3,-5.23,Memphis Grizzlies,Memphis Grizzlies,2009
0,Boston Celtics*,50,32,0.61,—,99.2,95.6,3.37,,Boston Celtics*,2010
1,Toronto Raptors,40,42,0.488,10.0,104.1,105.9,-1.83,,Toronto Raptors,2010
